supplier_id,supplier_name,category,lead_time_days,reliability_score,status
SUP_0415,Industrial Supplier 415,Mechanical,13,0.866,Approved
SUP_0416,Industrial Supplier 416,Pneumatics,3,0.893,Conditional
SUP_0417,Industrial Supplier 417,Pneumatics,1,0.835,Approved
SUP_0418,Industrial Supplier 418,Instrumentation,10,0.953,Conditional
SUP_0419,Industrial Supplier 419,Pneumatics,5,0.89,Approved
SUP_0420,Industrial Supplier 420,General,9,0.974,Approved
SUP_0421,Industrial Supplier 421,Instrumentation,9,0.849,Conditional
SUP_0422,Industrial Supplier 422,Electrical,3,0.866,Approved
SUP_0423,Industrial Supplier 423,Cooling,3,0.831,Conditional
SUP_0424,Industrial Supplier 424,Mechanical,7,0.871,Approved
SUP_0425,Industrial Supplier 425,Mechanical,5,0.981,Conditional
SUP_0426,Industrial Supplier 426,Instrumentation,10,0.853,Approved
SUP_0427,Industrial Supplier 427,Electrical,5,0.821,Conditional
SUP_0428,Industrial Supplier 428,Mechanical,14,0.925,Approved
SUP_0429,Industrial Supplier 429,Cooling,6,0.893,Approved
SUP_0430,Industrial Supplier 430,Mechanical,6,0.923,Approved
SUP_0431,Industrial Supplier 431,Cooling,6,0.85,Conditional
SUP_0432,Industrial Supplier 432,Mechanical,5,0.945,Conditional
SUP_0433,Industrial Supplier 433,Instrumentation,13,0.861,Conditional
SUP_0434,Industrial Supplier 434,Mechanical,14,0.954,Approved
SUP_0435,Industrial Supplier 435,Pneumatics,10,0.854,Approved
SUP_0436,Industrial Supplier 436,General,13,0.914,Conditional
SUP_0437,Industrial Supplier 437,General,4,0.895,Approved
SUP_0438,Industrial Supplier 438,General,2,0.959,Conditional
SUP_0439,Industrial Supplier 439,General,8,0.844,Approved
SUP_0440,Industrial Supplier 440,Electrical,5,0.932,Conditional
SUP_0441,Industrial Supplier 441,Cooling,2,0.896,Conditional
SUP_0442,Industrial Supplier 442,Instrumentation,7,0.911,Conditional
SUP_0443,Industrial Supplier 443,Instrumentation,1,0.954,Approved
SUP_0444,Industrial Supplier 444,General,13,0.911,Approved
SUP_0445,Industrial Supplier 445,Pneumatics,13,0.862,Approved
SUP_0446,Industrial Supplier 446,Electrical,11,0.924,Conditional
SUP_0447,Industrial Supplier 447,Mechanical,13,0.893,Approved
SUP_0448,Industrial Supplier 448,Pneumatics,5,0.858,Approved
SUP_0449,Industrial Supplier 449,Cooling,6,0.886,Approved
SUP_0450,Industrial Supplier 450,Mechanical,1,0.902,Approved
SUP_0451,Industrial Supplier 451,Cooling,2,0.84,Approved
SUP_0452,Industrial Supplier 452,Mechanical,5,0.878,Approved
SUP_0453,Industrial Supplier 453,Instrumentation,8,0.879,Approved
SUP_0454,Industrial Supplier 454,Cooling,12,0.938,Approved
SUP_0455,Industrial Supplier 455,Pneumatics,5,0.828,Approved
SUP_0456,Industrial Supplier 456,Pneumatics,14,0.878,Approved
SUP_0457,Industrial Supplier 457,General,13,0.848,Approved
SUP_0458,Industrial Supplier 458,Instrumentation,3,0.914,Approved
SUP_0459,Industrial Supplier 459,Instrumentation,7,0.983,Approved
SUP_0460,Industrial Supplier 460,Cooling,11,0.851,Conditional
SUP_0461,Industrial Supplier 461,Cooling,1,0.945,Approved
SUP_0462,Industrial Supplier 462,Cooling,10,0.893,Approved
SUP_0463,Industrial Supplier 463,General,4,0.855,Approved
SUP_0464,Industrial Supplier 464,Instrumentation,2,0.956,Approved
SUP_0465,Industrial Supplier 465,Mechanical,6,0.854,Approved
SUP_0466,Industrial Supplier 466,Mechanical,11,0.967,Approved
SUP_0467,Industrial Supplier 467,Instrumentation,7,0.924,Approved
SUP_0468,Industrial Supplier 468,Mechanical,6,0.964,Approved
SUP_0469,Industrial Supplier 469,General,12,0.956,Approved
SUP_0470,Industrial Supplier 470,General,3,0.873,Approved
SUP_0471,Industrial Supplier 471,Mechanical,2,0.851,Approved
SUP_0472,Industrial Supplier 472,Instrumentation,7,0.891,Approved
SUP_0473,Industrial Supplier 473,Instrumentation,7,0.892,Conditional
SUP_0474,Industrial Supplier 474,General,9,0.938,Approved
SUP_0475,Industrial Supplier 475,Instrumentation,3,0.903,Approved
SUP_0476,Industrial Supplier 476,Electrical,6,0.963,Approved
SUP_0477,Industrial Supplier 477,Mechanical,1,0.902,Approved
SUP_0478,Industrial Supplier 478,Cooling,9,0.906,Conditional
SUP_0479,Industrial Supplier 479,Cooling,11,0.904,Conditional
SUP_0480,Industrial Supplier 480,Cooling,3,0.834,Approved
SUP_0481,Industrial Supplier 481,Electrical,5,0.826,Approved
SUP_0482,Industrial Supplier 482,Instrumentation,5,0.849,Conditional
SUP_0483,Industrial Supplier 483,Instrumentation,12,0.951,Conditional
SUP_0484,Industrial Supplier 484,Instrumentation,9,0.839,Approved
SUP_0485,Industrial Supplier 485,Mechanical,13,0.912,Approved
SUP_0486,Industrial Supplier 486,Instrumentation,14,0.949,Conditional
SUP_0487,Industrial Supplier 487,Instrumentation,4,0.988,Approved
SUP_0488,Industrial Supplier 488,General,14,0.931,Approved
SUP_0489,Industrial Supplier 489,Mechanical,14,0.99,Conditional
SUP_0490,Industrial Supplier 490,Mechanical,6,0.967,Approved
SUP_0491,Industrial Supplier 491,Cooling,14,0.989,Approved
SUP_0492,Industrial Supplier 492,Electrical,13,0.945,Approved
SUP_0493,Industrial Supplier 493,General,10,0.928,Approved
SUP_0494,Industrial Supplier 494,Instrumentation,3,0.953,Approved
SUP_0495,Industrial Supplier 495,Pneumatics,10,0.88,Approved
SUP_0496,Industrial Supplier 496,Instrumentation,9,0.849,Approved
SUP_0497,Industrial Supplier 497,Mechanical,10,0.865,Approved
SUP_0498,Industrial Supplier 498,Electrical,13,0.954,Approved
SUP_0499,Industrial Supplier 499,Mechanical,14,0.932,Approved
SUP_0500,Industrial Supplier 500,Electrical,3,0.941,Approved
